City,Country,Latitude,Longitude,Date/Time,Temperature (F),Humidity (%),Wind Speed (mph),Cloud Cover (%)
La Ronge,CA,55.1,-105.3,Sun Mar 31 10:00:00 2019,30.2,58,9.17,75
Leczyca,PL,52.06,19.2,Sun Mar 31 11:15:06 2019,49.5,57,13.87,40
Provideniya,RU,64.42,-173.23,Sun Mar 31 11:09:02 2019,27.97,98,8.63,80
Weligama,LK,5.97,80.42,Sun Mar 31 11:09:21 2019,79.45,96,5.73,0
Banjar,ID,-7.37,108.54,Sun Mar 31 11:15:24 2019,70.27,96,2.26,76
Saint George,GR,39.45,22.34,Sun Mar 31 10:50:00 2019,58.05,44,4.7,0
Ryotsu,JP,38.08,138.43,Sun Mar 31 11:15:25 2019,43.54,100,20.04,24
Calafell,ES,41.2,1.57,Sun Mar 31 11:15:22 2019,57.63,72,6.93,40
Mogadishu,SO,2.04,45.34,Sun Mar 31 11:05:18 2019,83.77,97,15.68,0
Clyde River,CA,70.47,-68.59,Sun Mar 31 10:00:00 2019,3.2,84,2.24,75
Sterling,US,39.0,-77.4,Sun Mar 31 11:11:17 2019,53.13,47,17.22,40
Sola,NO,58.89,5.65,Sun Mar 31 11:15:24 2019,38.59,52,13.87,40
Serebryanyy Bor,RU,56.8,124.8,Sun Mar 31 11:15:27 2019,13.57,84,3.27,68
Rome,IT,41.89,12.48,Sun Mar 31 11:12:04 2019,60.71,45,5.82,0
Murdochville,CA,48.96,-65.49,Sun Mar 31 11:15:27 2019,49.48,79,17.25,88
Jiuquan,CN,39.73,98.49,Sun Mar 31 11:09:30 2019,24.28,67,3.15,0
Phultala,BD,22.7,89.52,Sun Mar 31 11:15:28 2019,79.63,61,10.31,36
Codrington,AU,-28.95,153.24,Sun Mar 31 10:00:00 2019,54.3,93,3.94,0
Okhotsk,RU,59.36,143.24,Sun Mar 31 11:08:46 2019,17.8,86,4.83,0
Jalu,LY,29.03,21.55,Sun Mar 31 11:15:29 2019,62.89,42,8.97,0
Srednekolymsk,RU,67.46,153.71,Sun Mar 31 11:15:29 2019,-2.9,62,2.93,0
Vung Tau,VN,10.35,107.08,Sun Mar 31 11:15:29 2019,82.69,96,12.21,88
Rock Springs,US,41.59,-109.2,Sun Mar 31 10:54:00 2019,28.4,74,5.82,1
Talnakh,RU,69.49,88.39,Sun Mar 31 11:15:30 2019,27.97,87,16.8,88
Billings,US,45.79,-108.5,Sun Mar 31 11:11:35 2019,46.65,45,6.93,1
Conde,BR,-11.81,-37.61,Sun Mar 31 11:15:30 2019,80.8,98,6.51,12
Panlaitan,PH,12.12,119.85,Sun Mar 31 11:15:31 2019,79.9,94,10.76,0
Poum,MK,41.28,20.71,Sun Mar 31 10:30:00 2019,57.2,28,2.24,0
Ribeira Grande,PT,38.52,-28.7,Sun Mar 31 11:00:00 2019,57.2,58,13.87,75
Kruisfontein,ZA,-34.0,24.73,Sun Mar 31 11:15:31 2019,60.55,86,6.17,56
Tiksi,RU,71.64,128.87,Sun Mar 31 11:15:32 2019,19.15,76,6.29,80
Balkanabat,TM,39.51,54.36,Sun Mar 31 11:15:32 2019,41.29,85,6.17,76
Salinopolis,BR,-0.61,-47.36,Sun Mar 31 11:15:32 2019,77.65,100,7.63,88
Stanger,ZA,-29.34,31.29,Sun Mar 31 11:14:36 2019,73.56,83,17.22,20
Candolim,IN,15.52,73.76,Sun Mar 31 11:15:14 2019,77.83,100,5.39,0
Manthani,IN,18.65,79.67,Sun Mar 31 11:16:33 2019,78.64,59,11.99,20
Chicama,PE,-7.84,-79.15,Sun Mar 31 10:00:00 2019,71.6,83,12.75,20
Saint Anthony,US,43.97,-111.68,Sun Mar 31 11:10:13 2019,36.3,55,3.36,1
Xichang,CN,27.88,102.25,Sun Mar 31 11:16:34 2019,47.14,98,0.92,92
Metro,ID,-5.11,105.31,Sun Mar 31 11:15:27 2019,79.0,89,7.74,8
Santa Isabel do Rio Negro,BR,-0.41,-65.02,Sun Mar 31 11:16:34 2019,93.13,53,4.94,20
Benton Harbor,US,42.12,-86.45,Sun Mar 31 11:15:30 2019,30.33,46,13.87,90
Nanortalik,GL,60.14,-45.24,Sun Mar 31 11:09:26 2019,27.25,100,27.98,44
Assiniboia,CA,49.63,-105.99,Sun Mar 31 11:16:35 2019,34.18,77,6.96,32
Samarai,PG,-10.62,150.67,Sun Mar 31 11:16:35 2019,80.08,100,10.42,68
Paamiut,GL,61.99,-49.67,Sun Mar 31 11:09:19 2019,26.35,100,9.75,64
Uarini,BR,-2.98,-65.16,Sun Mar 31 10:00:00 2019,89.6,62,4.7,20
Cao Bang,VN,22.67,106.25,Sun Mar 31 11:15:52 2019,61.81,99,4.61,92
Abha,SA,18.22,42.5,Sun Mar 31 10:00:00 2019,68.95,37,11.41,20
Seguela,CI,7.96,-6.67,Sun Mar 31 11:16:37 2019,80.17,79,6.51,64
Chuy,UY,-33.69,-53.46,Sun Mar 31 11:14:11 2019,77.2,93,8.19,0
Badnawar,IN,23.02,75.23,Sun Mar 31 10:00:00 2019,86.0,22,5.82,0
Tommot,RU,58.97,126.27,Sun Mar 31 11:09:03 2019,12.58,74,2.37,64
Mariel,CU,22.99,-82.75,Sun Mar 31 11:12:23 2019,82.24,48,6.93,40
Alyangula,AU,-13.85,136.42,Sun Mar 31 10:00:00 2019,78.8,83,18.03,40
Sahibganj,IN,25.24,87.63,Sun Mar 31 11:16:38 2019,70.0,80,7.4,0
Itarema,BR,-2.92,-39.92,Sun Mar 31 11:16:38 2019,81.25,100,7.85,44
Tsubata,JP,36.67,136.73,Sun Mar 31 11:11:30 2019,41.32,93,4.7,75
Loa Janan,ID,-0.58,117.09,Sun Mar 31 11:16:39 2019,72.7,100,2.15,32
Murgab,TM,37.5,61.97,Sun Mar 31 10:00:00 2019,55.4,50,13.87,90
Pemberton,AU,-34.44,116.03,Sun Mar 31 11:15:28 2019,65.12,73,10.09,76
Deputatskiy,RU,69.3,139.9,Sun Mar 31 11:16:40 2019,-9.83,32,2.71,0
Saint-Pierre,FR,48.95,4.24,Sun Mar 31 11:13:33 2019,67.1,21,8.05,0
Purpe,RU,64.48,76.69,Sun Mar 31 11:14:58 2019,30.99,85,4.0,80
San Pedro,AR,-33.68,-59.66,Sun Mar 31 11:13:56 2019,84.0,63,1.99,92
Boissevain,CA,49.23,-100.06,Sun Mar 31 10:35:00 2019,33.8,87,12.75,75
Port Hardy,CA,50.7,-127.42,Sun Mar 31 10:00:00 2019,41.0,93,2.24,90
Constitucion,MX,23.99,-104.67,Sun Mar 31 11:10:16 2019,69.04,34,2.24,20
Mandera,ET,3.94,41.86,Sun Mar 31 11:16:21 2019,84.99,16,3.0,0
Springbok,ZA,-29.67,17.88,Sun Mar 31 11:16:45 2019,66.22,36,7.4,0
Pacific Grove,US,36.62,-121.92,Sun Mar 31 11:16:41 2019,60.35,55,3.36,1
Havoysund,NO,71.0,24.66,Sun Mar 31 10:50:00 2019,30.15,86,41.38,75
Antofagasta,CL,-23.65,-70.4,Sun Mar 31 10:00:00 2019,68.0,68,13.87,20
Luz,BR,-19.79,-45.68,Sun Mar 31 11:16:46 2019,84.58,56,2.93,0
Severo-Kurilsk,RU,50.68,156.12,Sun Mar 31 11:16:46 2019,27.07,100,4.05,64
Tiznit,MA,29.7,-9.73,Sun Mar 31 11:15:19 2019,60.37,92,5.61,64
Rio Grande,BR,-32.03,-52.1,Sun Mar 31 10:00:00 2019,84.2,58,1.12,20
Dumingag,PH,8.15,123.34,Sun Mar 31 11:16:47 2019,67.75,100,3.15,68
Coolum Beach,AU,-26.53,153.09,Sun Mar 31 11:16:01 2019,60.31,80,4.0,20
Hasaki,JP,35.73,140.83,Sun Mar 31 11:04:37 2019,39.04,100,9.17,20
Cedar City,US,37.68,-113.06,Sun Mar 31 11:15:09 2019,42.98,52,6.93,1
Katsuura,JP,33.93,134.5,Sun Mar 31 11:04:21 2019,46.71,81,13.87,20
Orlik,RU,52.51,99.83,Sun Mar 31 11:16:49 2019,8.44,86,1.92,0
Maragogi,BR,-9.01,-35.22,Sun Mar 31 11:16:49 2019,82.33,93,7.74,68
Morondava,MG,-20.3,44.28,Sun Mar 31 11:16:49 2019,80.53,81,7.63,0
Kandrian,PG,-6.21,149.55,Sun Mar 31 11:16:50 2019,75.04,98,3.04,24
Yenagoa,NG,4.92,6.26,Sun Mar 31 11:16:50 2019,85.3,73,3.71,80
Araouane,ML,18.9,-3.53,Sun Mar 31 11:16:50 2019,93.67,21,7.74,56
Skala,GR,36.85,22.66,Sun Mar 31 11:15:42 2019,58.73,58,14.79,20
Sosnovskoye,RU,55.81,43.17,Sun Mar 31 10:30:00 2019,50.0,85,11.18,0
Port Macquarie,AU,-31.43,152.91,Sun Mar 31 11:10:05 2019,50.31,76,3.36,0
Moerai,PF,-22.43,-151.33,Sun Mar 31 11:17:51 2019,77.2,100,23.51,32
Bako,NG,9.68,6.4,Sun Mar 31 11:17:52 2019,88.54,53,3.94,0
San Pedro Buenavista,MX,20.01,-97.11,Sun Mar 31 11:17:52 2019,60.01,100,4.27,100
Glenwood Springs,US,39.55,-107.33,Sun Mar 31 11:14:04 2019,37.49,47,4.7,1
Kamenka,RU,53.19,44.05,Sun Mar 31 11:17:53 2019,35.26,88,11.88,20
Vari,GR,37.83,23.8,Sun Mar 31 11:17:09 2019,54.39,37,11.41,20
Evansville,US,37.97,-87.56,Sun Mar 31 11:16:41 2019,39.72,48,16.11,75
Dhidhdhoo,MV,6.88,73.1,Sun Mar 31 11:17:53 2019,85.12,100,0.36,0
College,US,64.86,-147.8,Sun Mar 31 11:17:03 2019,28.74,100,4.72,1
Reconquista,AR,-29.14,-59.64,Sun Mar 31 11:17:54 2019,82.42,77,12.21,64
Sibu,MY,2.29,111.83,Sun Mar 31 10:00:00 2019,77.0,94,3.36,75
Amuntai,ID,-2.42,115.25,Sun Mar 31 11:17:54 2019,75.13,93,1.92,32
La Rochelle,FR,46.16,-1.15,Sun Mar 31 11:00:00 2019,63.57,72,6.93,0
Manikpur,IN,25.07,81.1,Sun Mar 31 11:17:55 2019,74.05,57,2.71,12
Airai,TL,-8.93,125.41,Sun Mar 31 11:17:56 2019,64.69,86,1.36,0
Leningradskiy,RU,69.38,178.42,Sun Mar 31 11:17:56 2019,-2.45,61,5.61,0
Aquiraz,BR,-3.9,-38.39,Sun Mar 31 11:05:14 2019,81.63,100,3.0,64
Darhan,MN,49.49,105.92,Sun Mar 31 11:08:47 2019,26.8,62,2.82,80
Semey,KZ,50.41,80.25,Sun Mar 31 11:17:56 2019,39.85,79,3.15,24
Sovetskaya,RU,44.78,41.17,Sun Mar 31 11:16:04 2019,45.0,4,15.01,0
Luderitz,NA,-26.65,15.16,Sun Mar 31 11:09:09 2019,65.05,75,18.25,0
Verkhnevilyuysk,RU,63.45,120.31,Sun Mar 31 11:17:57 2019,13.66,69,3.15,20
Askiz,RU,53.13,90.53,Sun Mar 31 11:17:57 2019,29.5,80,2.59,20
Turukhansk,RU,65.8,87.96,Sun Mar 31 11:17:57 2019,30.04,95,13.44,56
Menongue,AO,-14.66,17.68,Sun Mar 31 11:17:58 2019,75.67,43,2.71,12
Dandong,CN,40.12,124.37,Sun Mar 31 11:17:58 2019,24.55,57,2.37,24
Ulladulla,AU,-35.36,150.48,Sun Mar 31 11:17:50 2019,49.14,71,10.29,68
Whangamata,NZ,-37.21,175.87,Sun Mar 31 11:16:27 2019,67.5,89,21.0,100
Sao Domingos do Maranhao,BR,-5.58,-44.39,Sun Mar 31 11:17:59 2019,79.9,97,3.71,76
Udachnyy,RU,66.42,112.4,Sun Mar 31 11:17:59 2019,25.72,72,6.06,48
Bose,IT,45.46,8.01,Sun Mar 31 11:17:46 2019,67.78,14,4.7,0
Constantine,DZ,36.36,6.61,Sun Mar 31 10:30:00 2019,64.4,48,10.29,75
Winnemucca,US,40.97,-117.74,Sun Mar 31 11:01:26 2019,45.72,52,3.36,1
Padang,ID,-0.92,100.36,Sun Mar 31 10:00:00 2019,77.0,94,2.24,75
San Patricio,PY,-26.98,-56.83,Sun Mar 31 11:18:01 2019,89.44,61,3.49,68
Ziway,ET,7.93,38.72,Sun Mar 31 11:17:18 2019,63.34,61,2.37,80
Severodvinsk,RU,64.56,39.82,Sun Mar 31 10:30:00 2019,28.4,68,4.47,40
Rafaela,AR,-31.25,-61.49,Sun Mar 31 11:16:31 2019,87.01,47,7.0,92
Elko,US,40.83,-115.76,Sun Mar 31 11:13:30 2019,41.32,64,1.03,1
Cherskiy,RU,68.75,161.3,Sun Mar 31 11:09:24 2019,-9.74,35,2.15,0
Itupiranga,BR,-5.13,-49.33,Sun Mar 31 10:00:00 2019,77.0,100,5.82,90
Suntar,RU,62.16,117.65,Sun Mar 31 11:18:02 2019,16.09,67,2.93,32
Kushalgarh,IN,23.2,74.45,Sun Mar 31 11:18:03 2019,72.52,59,3.15,0
Zheleznodorozhnyy,RU,55.75,38.0,Sun Mar 31 11:13:58 2019,52.43,50,6.71,0
Titel,RS,45.21,20.3,Sun Mar 31 11:14:02 2019,61.72,25,4.7,0
Merauke,ID,-8.49,140.4,Sun Mar 31 11:18:04 2019,75.49,100,8.63,76
Bay Roberts,CA,47.58,-53.28,Sun Mar 31 11:17:50 2019,51.96,54,18.34,40
Sorland,NO,67.67,12.69,Sun Mar 31 10:50:00 2019,31.84,64,19.46,40
Kostomuksha,RU,64.59,30.6,Sun Mar 31 11:18:04 2019,27.79,73,6.17,8
Bontang,ID,0.12,117.47,Sun Mar 31 11:18:05 2019,78.73,100,4.5,92
Gamba,CN,28.28,88.52,Sun Mar 31 11:18:05 2019,0.07,53,2.71,12
Vikulovo,RU,55.07,40.96,Sun Mar 31 11:18:05 2019,38.14,87,13.78,48
Tura,IN,25.52,90.21,Sun Mar 31 11:06:58 2019,64.15,95,5.73,12
Pangoa,PE,-12.12,-73.0,Sun Mar 31 11:18:06 2019,69.55,100,1.36,68
Santa Rosa,AR,-36.62,-64.29,Sun Mar 31 11:18:09 2019,82.15,58,13.44,76
Portland,US,45.52,-122.67,Sun Mar 31 11:07:34 2019,53.78,66,3.15,1
Te Anau,NZ,-45.41,167.72,Sun Mar 31 11:19:09 2019,51.55,86,18.03,68
Evensk,RU,61.92,159.24,Sun Mar 31 11:19:09 2019,27.7,88,17.02,64
Altay,CN,47.83,88.13,Sun Mar 31 11:19:10 2019,19.42,72,2.48,0
Livingston,US,32.58,-88.19,Sun Mar 31 11:16:32 2019,48.42,61,10.29,90
Yagodnoye,RU,62.52,149.63,Sun Mar 31 11:19:10 2019,-7.4,69,2.26,20
Zambezi,ZM,-13.55,23.12,Sun Mar 31 11:19:11 2019,73.87,44,6.17,0
Platanos,GR,35.47,23.6,Sun Mar 31 11:15:54 2019,53.49,86,9.17,1
Harper,US,30.3,-99.24,Sun Mar 31 11:19:01 2019,46.65,45,6.93,90
Phalaborwa,ZA,-23.95,31.14,Sun Mar 31 11:00:00 2019,80.6,44,2.24,0
Klaksvik,FO,62.23,-6.59,Sun Mar 31 10:50:00 2019,42.8,87,8.05,92
Novyy Urgal,RU,51.07,132.56,Sun Mar 31 11:19:12 2019,6.37,53,2.48,36
Homer,US,59.64,-151.54,Sun Mar 31 11:18:34 2019,35.92,86,4.7,1
Benguela,AO,-12.58,13.4,Sun Mar 31 11:19:13 2019,83.59,94,3.27,12
San Juan,AR,-31.54,-68.53,Sun Mar 31 11:15:25 2019,81.97,49,4.61,8
San Jose,PH,15.79,120.99,Sun Mar 31 11:19:16 2019,69.1,91,2.26,36
Redlands,US,34.06,-117.19,Sun Mar 31 11:19:13 2019,67.95,26,4.7,1
Leshukonskoye,RU,64.9,45.76,Sun Mar 31 11:19:16 2019,29.95,67,5.28,80
Panjab,AF,34.38,67.02,Sun Mar 31 11:19:17 2019,31.93,86,2.04,0
Porto Novo,BR,-23.68,-45.44,Sun Mar 31 10:00:00 2019,78.8,57,3.36,40
Uyuni,BO,-20.46,-66.82,Sun Mar 31 11:19:17 2019,62.53,50,5.61,20
Hovd,NO,63.83,10.7,Sun Mar 31 11:04:23 2019,32.47,90,20.8,90
Sarankhola,BD,22.31,89.79,Sun Mar 31 11:19:18 2019,83.59,56,8.41,24
Columbus,US,32.46,-84.99,Sun Mar 31 11:17:37 2019,48.85,70,9.17,90
Saint-Augustin,FR,44.83,-0.61,Sun Mar 31 11:10:35 2019,69.21,19,10.29,20
Yacuiba,AR,-22.01,-63.68,Sun Mar 31 10:00:00 2019,82.4,78,7.07,75
Nikolayevsk-na-amure,RU,53.14,140.72,Sun Mar 31 11:19:19 2019,9.79,81,5.95,56
Teguldet,RU,57.31,88.17,Sun Mar 31 11:19:19 2019,38.05,85,9.31,88
Antalaha,MG,-14.9,50.28,Sun Mar 31 11:19:19 2019,79.18,91,4.72,8
Rosetta,EG,31.4,30.42,Sun Mar 31 10:00:00 2019,60.8,63,13.87,40
Bissau,GW,11.86,-15.58,Sun Mar 31 10:00:00 2019,102.2,29,9.17,0
Guerrero Negro,MX,27.97,-114.04,Sun Mar 31 11:19:20 2019,78.37,35,4.83,0
Santa Cruz,US,36.97,-122.03,Sun Mar 31 11:19:05 2019,61.03,67,3.15,1
Cervo,BR,-22.19,-46.24,Sun Mar 31 10:00:00 2019,78.8,65,4.7,40
Luganville,VU,-15.51,167.18,Sun Mar 31 11:19:23 2019,82.51,100,8.19,20
Torzhok,RU,57.04,34.97,Sun Mar 31 11:19:23 2019,42.19,60,18.48,20
Aguas Verdes,EC,-3.48,-80.25,Sun Mar 31 10:00:00 2019,86.76,33,6.93,40
Balad,ID,-6.76,108.42,Sun Mar 31 11:19:24 2019,79.99,100,3.6,48
Aranos,NA,-24.14,19.11,Sun Mar 31 11:19:24 2019,83.23,23,5.28,92
Camargo,MX,27.69,-105.17,Sun Mar 31 11:19:24 2019,63.97,37,9.31,0
Key Largo,US,25.09,-80.45,Sun Mar 31 11:18:52 2019,79.83,51,8.05,40
Olinda,EC,-2.03,-79.75,Sun Mar 31 11:16:34 2019,87.33,70,9.17,20
Tuatapere,NZ,-46.13,167.69,Sun Mar 31 11:10:06 2019,64.0,65,10.0,24
Monster,NL,52.03,4.17,Sun Mar 31 11:19:10 2019,51.01,61,16.11,0
Bull Savanna,JM,17.89,-77.59,Sun Mar 31 11:19:26 2019,85.93,55,4.38,12
Sobolevo,RU,54.43,31.9,Sun Mar 31 11:19:26 2019,50.2,61,18.03,92
Komsomolets,RU,52.77,41.29,Sun Mar 31 11:19:27 2019,45.07,85,13.0,0
Florianopolis,BR,-27.6,-48.55,Sun Mar 31 11:18:53 2019,76.1,65,11.41,0
Palembang,ID,-2.99,104.76,Sun Mar 31 10:30:00 2019,80.6,94,5.82,40
Vagur,FO,61.47,-6.81,Sun Mar 31 11:19:27 2019,45.79,96,25.86,88
Labuhan,ID,-2.54,115.51,Sun Mar 31 11:19:28 2019,72.7,95,0.92,20
Pyaozerskiy,RU,65.83,31.17,Sun Mar 31 11:19:28 2019,31.12,75,6.96,24
Dawlatabad,AF,36.41,64.91,Sun Mar 31 11:19:28 2019,58.3,66,10.65,0
Hohhot,CN,40.81,111.65,Sun Mar 31 10:00:00 2019,26.6,38,2.24,0
Mitsamiouli,KM,-11.38,43.28,Sun Mar 31 11:00:00 2019,80.6,88,1.12,20
Rusape,ZW,-18.53,32.12,Sun Mar 31 11:19:29 2019,61.63,87,2.82,0
Awbari,LY,26.59,12.77,Sun Mar 31 11:20:29 2019,70.27,25,6.06,20
Salalah,OM,17.01,54.1,Sun Mar 31 09:50:00 2019,80.6,69,5.82,20
Cabra,ES,37.47,-4.43,Sun Mar 31 11:13:24 2019,59.97,59,6.93,40
Bayburt,TR,40.26,40.22,Sun Mar 31 11:20:30 2019,35.08,94,4.27,48
Bilma,NE,18.69,12.92,Sun Mar 31 11:20:30 2019,79.45,10,7.07,0
Catuday,PH,16.29,119.81,Sun Mar 31 11:20:31 2019,77.2,100,8.63,48
Cascais,PT,38.7,-9.42,Sun Mar 31 11:20:31 2019,63.52,63,6.93,40
Mehamn,NO,71.03,27.85,Sun Mar 31 10:50:00 2019,31.57,80,20.8,40
Rincon,US,32.3,-81.24,Sun Mar 31 11:20:20 2019,75.65,50,20.8,75
Narsaq,GL,60.91,-46.05,Sun Mar 31 10:50:00 2019,23.0,38,6.93,20
Westport,IE,53.8,-9.52,Sun Mar 31 11:18:13 2019,49.55,66,6.93,40
Garissa,KE,-0.46,39.64,Sun Mar 31 11:20:32 2019,89.62,43,11.21,68
Belyy Yar,RU,53.6,91.39,Sun Mar 31 10:30:00 2019,44.6,65,6.71,0
Qaqortoq,GL,60.72,-46.03,Sun Mar 31 10:50:00 2019,23.0,38,6.93,20
Maniitsoq,GL,65.42,-52.9,Sun Mar 31 11:20:33 2019,21.49,93,13.67,76
Bastogne,BE,50.0,5.72,Sun Mar 31 11:20:16 2019,56.08,41,12.75,0
San Vicente,SV,13.64,-88.78,Sun Mar 31 10:50:00 2019,87.8,49,5.82,40
Chapais,CA,49.78,-74.86,Sun Mar 31 10:52:00 2019,26.6,73,18.34,90
Taitung,TW,22.76,121.15,Sun Mar 31 11:20:36 2019,65.05,100,14.79,36
Kim,US,32.73,-113.7,Sun Mar 31 11:20:04 2019,72.84,15,26.4,1
Himatangi,NZ,-40.4,175.32,Sun Mar 31 11:20:05 2019,66.4,85,18.48,88
Sinnamary,GF,5.38,-52.96,Sun Mar 31 11:20:37 2019,81.7,90,9.75,68
Vila,IT,45.18,8.4,Sun Mar 31 11:20:26 2019,68.14,15,4.7,0
Cacapava,BR,-23.1,-45.71,Sun Mar 31 10:00:00 2019,80.69,51,3.36,40
Tuim,RU,54.34,89.93,Sun Mar 31 11:20:38 2019,26.89,74,5.28,56
